Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
01039,Haydenville,MA,42.381475,-72.69259,-5,1,"42.381475, -72.69259"
02189,Weymouth,MA,42.2112,-70.93111,-5,1,"42.2112, -70.93111"
02266,Boston,MA,42.338947,-70.919635,-5,1,"42.338947, -70.919635"
84602,Provo,UT,40.356343,-111.732476,-7,1,"40.356343, -111.732476"
91769,Pomona,CA,33.786594,-118.298662,-8,1,"33.786594, -118.298662"
92401,San Bernardino,CA,34.105079,-117.29075,-8,1,"34.105079, -117.29075"
92846,Garden Grove,CA,33.640302,-117.769442,-8,1,"33.640302, -117.769442"
98655,Hazel Dell North,WA,45.678557,-122.663954,-8,1,"45.678557, -122.663954"
99210,Spokane,WA,47.653568,-117.431742,-8,1,"47.653568, -117.431742"
94561,Oakley,CA,37.992124,-121.71328,-8,1,"37.992124, -121.71328"
94974,San Quentin,CA,38.068036,-122.740988,-8,1,"38.068036, -122.740988"
96111,Floriston,CA,39.392752,-120.021212,-8,1,"39.392752, -120.021212"
76272,Valley View,TX,33.482548,-97.12259,-6,1,"33.482548, -97.12259"
78732,Austin,TX,30.382724,-97.89459,-6,1,"30.382724, -97.89459"
80013,Aurora,CO,39.659105,-104.7791,-7,1,"39.659105, -104.7791"
52220,Conroy,IA,41.728994,-91.99748,-6,1,"41.728994, -91.99748"
52346,Van Horne,IA,42.010556,-92.08308,-6,1,"42.010556, -92.08308"
53215,Milwaukee,WI,42.999364,-87.94343,-6,1,"42.999364, -87.94343"
53594,Waterloo,WI,43.18584,-88.97553,-6,1,"43.18584, -88.97553"
56062,Madelia,MN,44.045998,-94.4211,-6,1,"44.045998, -94.4211"
66727,Coyville,KS,37.559151,-95.743835,-6,1,"37.559151, -95.743835"
67857,Kendall,KS,37.974098,-101.5325,-6,1,"37.974098, -101.5325"
68354,Fairmont,NE,40.633747,-97.58041,-6,1,"40.633747, -97.58041"
68429,Reynolds,NE,40.059775,-97.380646,-6,1,"40.059775, -97.380646"
68810,Alda,NE,40.860494,-98.47051,-6,1,"40.860494, -98.47051"
61081,Sterling,IL,41.813776,-89.70537,-6,1,"41.813776, -89.70537"
14075,Hamburg,NY,42.734051,-78.8413,-5,1,"42.734051, -78.8413"
05490,Underhill Center,VT,44.504656,-72.885253,-5,1,"44.504656, -72.885253"
06438,Haddam,CT,41.45307,-72.50345,-5,1,"41.45307, -72.50345"
06510,New Haven,CT,41.306197,-72.92479,-5,1,"41.306197, -72.92479"
06787,Thomaston,CT,41.677982,-73.08979,-5,1,"41.677982, -73.08979"
03444,Dublin,NH,42.899874,-72.06334,-5,1,"42.899874, -72.06334"
03446,Swanzey,NH,42.870578,-72.29978,-5,1,"42.870578, -72.29978"
03756,Lebanon,NH,43.967542,-71.840883,-5,1,"43.967542, -71.840883"
16345,Russell,PA,41.954896,-79.09583,-5,1,"41.954896, -79.09583"
08540,Princeton,NJ,40.357439,-74.64922,-5,1,"40.357439, -74.64922"
08628,Trenton,NJ,40.264708,-74.82295,-5,1,"40.264708, -74.82295"
01096,Williamsburg,MA,42.415236,-72.78271,-5,1,"42.415236, -72.78271"
01508,Charlton City,MA,42.109748,-72.079455,-5,1,"42.109748, -72.079455"
29168,Wedgefield,SC,33.881986,-80.50487,-5,1,"33.881986, -80.50487"
29718,Jefferson,SC,34.631305,-80.35877,-5,1,"34.631305, -80.35877"
30108,Bowdon,GA,33.533934,-85.26088,-5,1,"33.533934, -85.26088"
28240,Charlotte,NC,35.26002,-80.804151,-5,1,"35.26002, -80.804151"
28420,Ash,NC,34.07367,-78.48214,-5,1,"34.07367, -78.48214"
08558,Skillman,NJ,40.410155,-74.70726,-5,1,"40.410155, -74.70726"
45880,Payne,OH,41.072614,-84.7317,-5,1,"41.072614, -84.7317"
47928,Cayuga,IN,39.946144,-87.46611,-5,0,"39.946144, -87.46611"
48182,Temperance,MI,41.773203,-83.57793,-5,1,"41.773203, -83.57793"
49229,Britton,MI,41.991654,-83.82631,-5,1,"41.991654, -83.82631"
42223,Fort Campbell,KY,36.654943,-87.46188,-6,1,"36.654943, -87.46188"
42347,Hartford,KY,37.471839,-86.9063,-6,1,"37.471839, -86.9063"
43465,Walbridge,OH,41.57725,-83.49795,-5,1,"41.57725, -83.49795"
53707,Madison,WI,43.06956,-89.423861,-6,1,"43.06956, -89.423861"
53931,Fairwater,WI,43.740108,-88.86812,-6,1,"43.740108, -88.86812"
54977,Scandinavia,WI,44.454684,-89.15371,-6,1,"44.454684, -89.15371"
39096,Lorman,MS,31.825143,-91.07877,-6,1,"31.825143, -91.07877"
55760,Mcgregor,MN,46.67746,-93.28391,-6,1,"46.67746, -93.28391"
44653,Midvale,OH,40.433496,-81.3731,-5,1,"40.433496, -81.3731"
39360,Shubuta,MS,31.863493,-88.74923,-6,1,"31.863493, -88.74923"
46862,Fort Wayne,IN,41.093763,-85.070713,-5,0,"41.093763, -85.070713"
47468,Unionville,IN,39.251349,-86.3935,-5,0,"39.251349, -86.3935"
48608,Saginaw,MI,43.348535,-84.032612,-5,1,"43.348535, -84.032612"
48895,Williamston,MI,42.68669,-84.27844,-5,1,"42.68669, -84.27844"
49127,Stevensville,MI,42.015092,-86.51351,-5,1,"42.015092, -86.51351"
46510,Claypool,IN,41.12274,-85.88733,-5,0,"41.12274, -85.88733"
56338,Hillman,MN,46.035241,-93.9153,-6,1,"46.035241, -93.9153"
41410,Cisco,KY,37.690636,-83.074592,-5,1,"37.690636, -83.074592"
41746,Happy,KY,37.204045,-83.09845,-5,1,"37.204045, -83.09845"
50340,Des Moines,IA,41.672687,-93.572173,-6,1,"41.672687, -93.572173"
40058,Port Royal,KY,38.433076,-85.17111,-5,1,"38.433076, -85.17111"
40257,Louisville,KY,38.188962,-85.676819,-5,1,"38.188962, -85.676819"
40574,Lexington,KY,38.028269,-84.471505,-5,1,"38.028269, -84.471505"
40868,Stinnett,KY,37.11181,-83.39265,-5,1,"37.11181, -83.39265"
06536,New Haven,CT,41.365709,-72.927507,-5,1,"41.365709, -72.927507"
07440,Pequannock,NJ,40.946748,-74.29575,-5,1,"40.946748, -74.29575"
07688,Teaneck,NJ,40.948054,-74.083231,-5,1,"40.948054, -74.083231"
90835,Long Beach,CA,33.767817,-118.199401,-8,1,"33.767817, -118.199401"
99607,Kalskag,AK,61.535511,-160.30165,-9,1,"61.535511, -160.30165"
99517,Anchorage,AK,61.188276,-149.93438,-9,1,"61.188276, -149.93438"
82221,Lagrange,WY,41.646277,-104.2877,-7,1,"41.646277, -104.2877"
82720,Hulett,WY,44.81103,-104.72952,-7,1,"44.81103, -104.72952"
75783,Quitman,TX,32.810076,-95.4355,-6,1,"32.810076, -95.4355"
76120,Fort Worth,TX,32.762631,-97.17527,-6,1,"32.762631, -97.17527"
95715,Emigrant Gap,CA,39.277658,-120.7067,-8,1,"39.277658, -120.7067"
80456,Jefferson,CO,39.310793,-105.74027,-7,1,"39.310793, -105.74027"
81046,Hoehne,CO,37.279584,-104.358375,-7,1,"37.279584, -104.358375"
87116,Albuquerque,NM,35.053147,-106.55102,-7,1,"35.053147, -106.55102"
89007,Bunkerville,NV,36.766887,-114.13298,-8,1,"36.766887, -114.13298"
92812,Anaheim,CA,33.640302,-117.769442,-8,1,"33.640302, -117.769442"
70460,Slidell,LA,30.298048,-89.81176,-6,1,"30.298048, -89.81176"
71405,Ball,LA,31.415125,-92.394536,-6,1,"31.415125, -92.394536"
14852,Ithaca,NY,42.445074,-76.467233,-5,1,"42.445074, -76.467233"
15096,Warrendale,PA,40.434436,-80.024817,-5,1,"40.434436, -80.024817"
11230,Brooklyn,NY,40.622994,-73.96427,-5,1,"40.622994, -73.96427"
11932,Bridgehampton,NY,40.939075,-72.30514,-5,1,"40.939075, -72.30514"
12242,Albany,NY,42.614852,-73.970812,-5,1,"42.614852, -73.970812"
02284,Boston,MA,42.338947,-70.919635,-5,1,"42.338947, -70.919635"
02625,Barnstable Town,MA,41.640528,-70.433279,-5,1,"41.640528, -70.433279"
02872,Prudence Island,RI,41.707119,-71.286834,-5,1,"41.707119, -71.286834"
04774,Saint Francis,ME,47.119796,-69.00258,-5,1,"47.119796, -69.00258"
44427,Kensington,OH,40.723803,-80.94874,-5,1,"40.723803, -80.94874"
98131,Seattle,WA,47.432251,-121.803388,-8,1,"47.432251, -121.803388"
53540,Gotham,WI,43.222854,-90.2935,-6,1,"43.222854, -90.2935"
11106,Astoria,NY,40.762012,-73.93147,-5,1,"40.762012, -73.93147"
38361,Morris Chapel,TN,35.311586,-88.29757,-6,1,"35.311586, -88.29757"
10943,Middletown,NY,41.387822,-74.354699,-5,1,"41.387822, -74.354699"
10960,Nyack,NY,41.089746,-73.9258,-5,1,"41.089746, -73.9258"
29683,Slater,SC,35.031252,-82.49425,-5,1,"35.031252, -82.49425"
12423,East Durham,NY,42.378679,-74.10443,-5,1,"42.378679, -74.10443"
25177,Saint Albans,WV,38.378841,-81.82633,-5,1,"38.378841, -81.82633"
17840,Locust Gap,PA,40.769941,-76.43928,-5,1,"40.769941, -76.43928"
04852,Monhegan,ME,43.764862,-69.32016,-5,1,"43.764862, -69.32016"
04926,China,ME,44.391167,-69.538257,-5,1,"44.391167, -69.538257"
76433,Bluff Dale,TX,32.318616,-98.03345,-6,1,"32.318616, -98.03345"
65752,South Greenfield,MO,37.343226,-93.82877,-6,1,"37.343226, -93.82877"
72069,Holly Grove,AR,34.584347,-91.14873,-6,1,"34.584347, -91.14873"
59024,Custer,MT,46.095217,-107.6318,-7,1,"46.095217, -107.6318"
68635,Dwight,NE,41.083432,-97.01583,-6,1,"41.083432, -97.01583"
77224,Houston,TX,29.83399,-95.434241,-6,1,"29.83399, -95.434241"
72812,Russellville,AR,35.423102,-93.054388,-6,1,"35.423102, -93.054388"
59842,Haugan,MT,47.365882,-115.49151,-7,1,"47.365882, -115.49151"
74646,Nardin,OK,36.821862,-97.45366,-6,1,"36.821862, -97.45366"
70656,Pitkin,LA,30.937089,-92.94802,-6,1,"30.937089, -92.94802"
43406,Bradner,OH,41.328037,-83.43802,-5,1,"41.328037, -83.43802"
74604,Ponca City,OK,36.704703,-97.00798,-6,1,"36.704703, -97.00798"
63543,Gorin,MO,40.361121,-92.01979,-6,1,"40.361121, -92.01979"
62671,New Holland,IL,40.186852,-89.56053,-6,1,"40.186852, -89.56053"
65084,Versailles,MO,38.428609,-92.84968,-6,1,"38.428609, -92.84968"
68124,Omaha,NE,41.235064,-96.05073,-6,1,"41.235064, -96.05073"
27533,Goldsboro,NC,35.372045,-78.052422,-5,1,"35.372045, -78.052422"
83116,Diamondville,WY,41.779266,-110.53868,-7,1,"41.779266, -110.53868"
54464,Phlox,WI,45.249382,-89.032136,-6,1,"45.249382, -89.032136"
84739,Joseph,UT,38.620071,-112.23422,-7,1,"38.620071, -112.23422"
46033,Carmel,IN,39.973731,-86.08875,-5,0,"39.973731, -86.08875"
86321,Bagdad,AZ,34.543627,-113.11473,-7,0,"34.543627, -113.11473"
51449,Lake City,IA,42.266805,-94.73571,-6,1,"42.266805, -94.73571"
79084,Stratford,TX,36.28116,-102.02187,-6,1,"36.28116, -102.02187"
53981,Willow,WI,43.412658,-90.274101,-6,1,"43.412658, -90.274101"
80502,Longmont,CO,40.087835,-105.373507,-7,1,"40.087835, -105.373507"
85296,Gilbert,AZ,33.319722,-111.76078,-7,0,"33.319722, -111.76078"
97056,Scappoose,OR,45.778892,-122.92065,-8,1,"45.778892, -122.92065"
93383,Bakersfield,CA,35.294405,-118.905173,-8,1,"35.294405, -118.905173"
99021,Mead,WA,47.81108,-117.22306,-8,1,"47.81108, -117.22306"
93536,Lancaster,CA,34.728857,-118.32683,-8,1,"34.728857, -118.32683"
89116,Las Vegas,NV,35.927901,-114.972061,-8,1,"35.927901, -114.972061"
78839,Crystal City,TX,28.68906,-99.81278,-6,1,"28.68906, -99.81278"
94570,Moraga,CA,37.777208,-121.955399,-8,1,"37.777208, -121.955399"
91710,Chino,CA,34.015963,-117.68737,-8,1,"34.015963, -117.68737"
14880,Scio,NY,42.170951,-77.97556,-5,1,"42.170951, -77.97556"
92068,San Luis Rey,CA,33.016928,-116.846046,-8,1,"33.016928, -116.846046"
23223,Richmond,VA,37.544746,-77.40085,-5,1,"37.544746, -77.40085"
76209,Denton,TX,33.23552,-97.112743,-6,1,"33.23552, -97.112743"
26555,Fairmont,WV,39.514343,-80.218538,-5,1,"39.514343, -80.218538"
45174,Terrace Park,OH,39.161061,-84.30808,-5,1,"39.161061, -84.30808"
45267,Cincinnati,OH,39.166759,-84.53822,-5,1,"39.166759, -84.53822"
36562,Perdido,AL,31.021335,-87.64417,-6,1,"31.021335, -87.64417"
17509,Christiana,PA,39.919072,-76.02508,-5,1,"39.919072, -76.02508"
38041,Henning,AR,35.629555,-89.86945,-6,1,"35.629555, -89.86945"
06493,Wallingford,CT,41.365709,-72.927507,-5,1,"41.365709, -72.927507"
10126,New York,NY,40.780751,-73.977182,-5,1,"40.780751, -73.977182"
61112,Rockford,IL,42.245596,-88.97586,-6,1,"42.245596, -88.97586"
10629,White Plains,NY,41.119008,-73.732996,-5,1,"41.119008, -73.732996"
61533,Glasford,IL,40.577778,-89.8297,-6,1,"40.577778, -89.8297"
12234,Albany,NY,42.614852,-73.970812,-5,1,"42.614852, -73.970812"
15270,Pittsburgh,PA,40.434436,-80.024817,-5,1,"40.434436, -80.024817"
20788,Hyattsville,MD,38.969434,-76.950913,-5,1,"38.969434, -76.950913"
21035,Davidsonville,MD,38.931312,-76.65248,-5,1,"38.931312, -76.65248"
80516,Erie,CO,40.051051,-105.02767,-7,1,"40.051051, -105.02767"
21154,Street,MD,39.661905,-76.35166,-5,1,"39.661905, -76.35166"
01609,Worcester,MA,42.271743,-71.81348,-5,1,"42.271743, -71.81348"
24348,Independence,VA,36.626454,-81.16554,-5,1,"36.626454, -81.16554"
65046,Jamestown,MO,38.77066,-92.48206,-6,1,"38.77066, -92.48206"
77257,Houston,TX,29.83399,-95.434241,-6,1,"29.83399, -95.434241"
69153,Ogallala,NE,41.115512,-101.69819,-7,1,"41.115512, -101.69819"
58849,Ray,ND,48.326813,-103.19462,-6,1,"48.326813, -103.19462"
15676,Pleasant Unity,PA,40.243195,-79.45737,-5,1,"40.243195, -79.45737"
15549,Listie,PA,40.020764,-79.012306,-5,1,"40.020764, -79.012306"
31206,Macon,GA,32.79904,-83.67216,-5,1,"32.79904, -83.67216"
27031,White Plains,NC,36.399366,-80.70809,-5,1,"36.399366, -80.70809"
32579,Shalimar,FL,30.444975,-86.57331,-6,1,"30.444975, -86.57331"
07842,Hibernia,NJ,40.940301,-74.49617,-5,1,"40.940301, -74.49617"
43964,Toronto,OH,40.465183,-80.62364,-5,1,"40.465183, -80.62364"
11976,Water Mill,NY,40.919693,-72.34407,-5,1,"40.919693, -72.34407"
29222,Columbia,SC,34.005992,-80.970766,-5,1,"34.005992, -80.970766"
49261,Napoleon,MI,42.164338,-84.24575,-5,1,"42.164338, -84.24575"
14877,Rexville,NY,42.060154,-77.68455,-5,1,"42.060154, -77.68455"
15367,Venetia,PA,40.261394,-80.05254,-5,1,"40.261394, -80.05254"
04761,New Limerick,ME,46.100442,-68.003376,-5,1,"46.100442, -68.003376"
16724,Crosby,PA,41.747898,-78.37938,-5,1,"41.747898, -78.37938"
43109,Brice,OH,39.916574,-82.83218,-5,1,"39.916574, -82.83218"
44432,Lisbon,OH,40.757793,-80.7642,-5,1,"40.757793, -80.7642"
20763,Savage,MD,39.137307,-76.82335,-5,1,"39.137307, -76.82335"
40351,Morehead,KY,38.19056,-83.4321,-5,1,"38.19056, -83.4321"
03302,Concord,NH,43.310279,-71.662928,-5,1,"43.310279, -71.662928"
44820,Bucyrus,OH,40.815179,-82.97091,-5,1,"40.815179, -82.97091"
04430,East Millinocket,ME,45.631824,-68.58178,-5,1,"45.631824, -68.58178"
30625,Buckhead,GA,33.527207,-83.34676,-5,1,"33.527207, -83.34676"
07206,Elizabeth,NJ,40.653189,-74.19158,-5,1,"40.653189, -74.19158"
32548,Fort Walton Beach,FL,30.414932,-86.61992,-6,1,"30.414932, -86.61992"
33084,Pembroke Pines,FL,26.289057,-80.129816,-5,1,"26.289057, -80.129816"
11520,Freeport,NY,40.653935,-73.587,-5,1,"40.653935, -73.587"
29647,Greenwood,SC,34.178813,-82.163078,-5,1,"34.178813, -82.163078"
31630,Du Pont,GA,30.96373,-82.86455,-5,1,"30.96373, -82.86455"
18460,South Sterling,PA,41.255644,-75.34474,-5,1,"41.255644, -75.34474"
83725,Boise,ID,43.459855,-116.243984,-7,1,"43.459855, -116.243984"
76870,Priddy,TX,31.651485,-98.50831,-6,1,"31.651485, -98.50831"
75457,Mount Vernon,TX,33.151104,-95.21965,-6,1,"33.151104, -95.21965"
03241,Hebron,NH,43.713794,-71.80642,-5,1,"43.713794, -71.80642"
94119,San Francisco,CA,37.784827,-122.727802,-8,1,"37.784827, -122.727802"
04276,Rumford,ME,44.53599,-70.56609,-5,1,"44.53599, -70.56609"
04481,Sebec,ME,45.792364,-69.30463,-5,1,"45.792364, -69.30463"
20850,Rockville,MD,39.093408,-77.1718,-5,1,"39.093408, -77.1718"
78943,Glidden,TX,29.699797,-96.59314,-6,1,"29.699797, -96.59314"
77346,Humble,TX,30.001902,-95.16962,-6,1,"30.001902, -95.16962"
91784,Upland,CA,34.138575,-117.66356,-8,1,"34.138575, -117.66356"
81230,Gunnison,CO,38.464132,-106.95776,-7,1,"38.464132, -106.95776"
64062,Lawson,MO,39.443609,-94.17063,-6,1,"39.443609, -94.17063"
65652,Fordland,MO,37.145969,-92.94888,-6,1,"37.145969, -92.94888"
84170,Salt Lake City,UT,40.668068,-111.908297,-7,1,"40.668068, -111.908297"
57325,Chamberlain,SD,43.781193,-99.29864,-6,1,"43.781193, -99.29864"
88353,Vaughn,NM,34.585906,-105.14392,-7,1,"34.585906, -105.14392"
68863,Overton,NE,40.752213,-99.52687,-6,1,"40.752213, -99.52687"
90411,Santa Monica,CA,33.786594,-118.298662,-8,1,"33.786594, -118.298662"
60109,Burlington,IL,42.052112,-88.54829,-6,1,"42.052112, -88.54829"
93755,Fresno,CA,36.746375,-119.639658,-8,1,"36.746375, -119.639658"
55676,Barnum,MN,46.471964,-92.687947,-6,1,"46.471964, -92.687947"
92673,San Clemente,CA,33.462927,-117.62414,-8,1,"33.462927, -117.62414"
78115,Geronimo,TX,29.54508,-98.040833,-6,1,"29.54508, -98.040833"
78636,Johnson City,TX,30.286655,-98.39837,-6,1,"30.286655, -98.39837"
78632,Harwood,TX,29.698718,-97.45739,-6,1,"29.698718, -97.45739"
78870,Knippa,TX,29.297821,-99.62754,-6,1,"29.297821, -99.62754"
80027,Louisville,CO,39.963322,-105.15053,-7,1,"39.963322, -105.15053"
65685,Louisburg,MO,37.751804,-93.16513,-6,1,"37.751804, -93.16513"
24945,Greenville,WV,37.543667,-80.69604,-5,1,"37.543667, -80.69604"
63023,Dittmer,MO,38.280328,-90.70519,-6,1,"38.280328, -90.70519"
80461,Leadville,CO,39.231776,-106.31399,-7,1,"39.231776, -106.31399"
28679,Sugar Grove,NC,36.255467,-81.83002,-5,1,"36.255467, -81.83002"
57568,Presho,SD,43.893368,-100.0569,-6,1,"43.893368, -100.0569"
92605,Huntington Beach,CA,33.640302,-117.769442,-8,1,"33.640302, -117.769442"
66286,Shawnee Mission,KS,38.899901,-94.831991,-6,1,"38.899901, -94.831991"
83837,Kellogg,ID,47.542783,-116.11848,-8,1,"47.542783, -116.11848"
61814,Bismarck,IL,40.231345,-87.58163,-6,1,"40.231345, -87.58163"
93449,Pismo Beach,CA,35.150886,-120.65401,-8,1,"35.150886, -120.65401"
97843,Ione,OR,45.493783,-119.87071,-8,1,"45.493783, -119.87071"
68766,Page,NE,42.41927,-98.40272,-6,1,"42.41927, -98.40272"
60541,Newark,IL,41.529433,-88.53552,-6,1,"41.529433, -88.53552"
60945,Iroquois,IL,40.827011,-87.58356,-6,1,"40.827011, -87.58356"
54876,Stone Lake,WI,45.842713,-91.47902,-6,1,"45.842713, -91.47902"
61473,Roseville,IL,40.70595,-90.65724,-6,1,"40.70595, -90.65724"
74363,Quapaw,OK,36.947372,-94.72912,-6,1,"36.947372, -94.72912"
74457,Proctor,OK,36.053046,-94.7768,-6,1,"36.053046, -94.7768"
